Grundstueck in qm;Grundstuecksform;Steigung;Bezirk;Zone;Lage;Typ;Zustand;Gebaut;Renoviert;Zustand Fassade;Kellerflaeche in qm;Heizung;Heizungsqualitaet;Klimaanlage;Erster Stock in qm;Zweiter Stock in qm;Wohnflaeche in qm;Schlafzimmer;Kuechen;Kuechenqualitaet;Raeume;Garage Typ;Garagenkapazitaet;Pool;Verkaufsmonat;Verkaufsjahr;Preis
958;IR1;Nein;North East;RL;Norm;REH;5;2137;2138;3;125;GasA;Ex;Y;126;0;126;2;1;4;6;Anbau;2;NA;5;2139;212500
586;Reg;Nein;Grand Park;RL;Norm;1Fam;6;2105;2105;3;94;GasA;Ty;Y;102;0;102;3;1;3;5;Freistehend;1;NA;6;2140;125200
876;Reg;Nein;East End;RL;Norm;1Fam;5;2129;2129;3;116;GasA;Ex;Y;118;102;220;3;1;4;8;Anbau;3;NA;7;2139;337000
296;Reg;Nein;Upper West;RL;Norm;REH;5;2135;2136;3;125;GasA;Ex;Y;140;0;140;1;1;4;7;Anbau;2;NA;5;2139;181000
398;Reg;Nein;City Hall;RL;Norm;1Fam;6;2043;2132;3;41;GasA;Ty;N;64;0;64;2;1;4;4;Freistehend;1;NA;3;2137;90350
868;IR1;Nein;ChinaTown;RL;Norm;1Fam;5;2137;2137;3;150;GasA;Ex;Y;150;0;150;3;1;4;7;Anbau;3;NA;5;2138;248500
669;Reg;Nein;Old Gotham;RM;Norm;1Fam;7;2050;2080;3;55;GasA;Ex;Y;93;71;164;4;1;4;8;Freistehend;2;NA;10;2136;157000
661;IR1;Ja;Dixon Side;RL;Norm;1Fam;7;2058;2113;4;94;GasA;Ty;Y;106;0;106;2;1;3;5;Freistehend;1;NA;7;2138;138000
1170;IR2;Nein;Miller;RL;Norm;1Fam;5;2135;2135;3;69;GasA;Ex;Y;69;69;138;3;1;4;8;Anbau;2;NA;6;2139;174000
465;IR1;Ja;The Bowery;RL;Norm;REH;5;2122;2122;3;119;GasA;Ex;Y;119;0;119;2;1;4;5;Anbau;2;NA;1;2140;191500
981;Reg;Nein;Somerset West;RL;Norm;1Fam;5;2123;2124;4;100;GasA;Ex;Y;100;74;175;3;1;4;8;Anbau;2;NA;8;2139;239900
5314;IR1;Ja;Tricorner;RL;Norm;1Fam;5;2078;2080;3;69;GasA;Ty;Y;157;0;157;3;1;3;7;Freistehend;2;NA;6;2140;160000
628;Reg;Nein;ChinaTown;RL;Norm;1Fam;5;2137;2137;3;119;GasA;Ex;Y;120;0;120;2;1;4;6;Anbau;2;NA;5;2139;200000
920;Reg;Nein;Old Gotham;RM;Norm;1Fam;8;2040;2132;3;47;GasA;Ex;Y;71;65;136;3;1;3;7;NA;0;NA;3;2139;129000
458;IR1;Nein;Robinson Park;RL;Norm;REH;5;2106;2106;3;100;GasA;Ty;Y;89;0;89;2;1;3;5;Anbau;2;NA;2;2137;128000
905;Reg;Nein;ChinaTown;RL;Norm;1Fam;5;2132;2132;3;165;GasA;Ex;Y;167;0;167;3;1;4;7;Anbau;2;NA;9;2138;230000
744;Reg;Nein;Somerset West;RL;Norm;REH;5;2110;2110;3;59;GasA;Ex;Y;59;59;118;2;1;3;5;Anbau;1;NA;7;2137;128000
1006;IR1;Nein;North West;RL;Norm;1Fam;7;2113;2113;3;117;GasA;Ty;Y;117;0;117;3;1;3;6;Anbau;2;NA;7;2138;181900
1397;IR2;Nein;Miller;RL;Norm;1Fam;5;2126;2126;3;85;GasA;Gut;Y;85;67;152;3;1;3;7;Anbau;2;NA;11;2138;173000
580;Reg;Nein;Dixon Side;RM;Norm;1Fam;7;2060;2122;3;100;GasA;Ty;Y;105;41;146;3;1;3;8;Freistehend;2;NA;6;2138;162900
677;Reg;Nein;Water District;RM;Str;1Fam;7;2055;2133;4;87;GasA;Ex;Y;87;62;149;3;1;3;6;NA;0;NA;9;2137;129850
714;IR1;Nein;City Hall;RL;Norm;1Fam;6;2051;2080;3;68;GasA;Ex;Y;76;49;125;3;1;3;7;Freistehend;1;NA;7;2139;154900
1059;IR1;Nein;ChinaTown;RL;Norm;1Fam;5;2128;2129;3;107;GasA;Ex;Y;107;82;189;3;1;4;8;Anbau;2;NA;7;2138;222500
465;Reg;Nein;Dixon Side;RM;Str;1Fam;7;2071;2136;4;62;GasA;Ex;Y;77;35;112;3;1;4;6;Freistehend;1;NA;5;2138;124000
557;Reg;Nein;Old Gotham;RM;Norm;1Fam;4;2050;2080;3;89;GasA;Gut;Y;89;0;89;2;1;2;5;Freistehend;1;NA;7;2137;108500
156;Reg;Nein;Novick District;RM;Norm;RMH;5;2102;2102;3;59;GasA;Ty;Y;59;62;121;3;1;3;6;Freistehend;1;NA;12;2138;111750
557;Reg;Nein;Dixon Side;RM;Norm;1Fam;7;2078;2080;3;72;GasA;Ty;Y;72;59;132;3;1;3;6;Freistehend;1;NA;3;2140;139900
866;Reg;Nein;Somerset West;RL;Norm;1Fam;5;2123;2123;3;69;GasA;Ex;Y;93;71;165;3;1;4;7;Anbau;2;NA;7;2139;213000
1001;Reg;Nein;Somerset;RL;Norm;2Fam;3;2097;2097;2;170;GasA;Ty;N;170;0;170;4;2;3;8;NA;0;NA;5;2140;136000
314;Reg;Ja;Old Gotham;RM;Norm;1Fam;8;2076;2122;4;60;GasA;Gut;Y;66;63;129;3;1;3;6;Freistehend;1;NA;9;2139;135000
1084;Reg;Nein;ChinaTown;RL;Norm;1Fam;5;2132;2132;3;146;GasA;Ex;Y;150;0;150;3;1;4;6;Anbau;3;NA;9;2139;250000
1373;IR1;Ja;North East;RL;Norm;1Fam;5;2135;2135;3;174;GasA;Ex;Y;174;0;174;2;1;5;7;Anbau;3;NA;6;2136;415000
752;Reg;Nein;Old Gotham;RM;Norm;2FamAn;8;2040;2113;3;115;GasA;Gut;Y;115;69;184;5;1;3;8;Freistehend;1;NA;9;2138;160000
878;Reg;Nein;East End;RL;Norm;1Fam;5;2127;2128;3;130;GasA;Ex;Y;131;92;222;3;1;4;7;Anbau;3;NA;6;2136;348000
836;Reg;Nein;New Gotham;RL;Norm;1Fam;7;2101;2136;4;80;GasA;Gut;Y;80;0;80;3;1;3;5;Freistehend;2;NA;7;2139;130000
202;Reg;Nein;Robinson Park;RL;Norm;RMH;5;2106;2106;3;79;GasA;Gut;Y;79;56;135;3;1;3;6;Anbau;2;NA;7;2136;144000
992;Reg;Nein;Grand Park;RL;Norm;1Fam;6;2090;2101;3;94;GasA;Ty;Y;107;0;107;3;1;3;7;2Typen;1;NA;7;2139;127000
802;Reg;Nein;ChinaTown;RL;Norm;1Fam;5;2135;2135;3;69;GasA;Ex;Y;69;69;137;3;1;4;7;Anbau;2;NA;2;2139;173500
613;Reg;Nein;Burnley;RL;Norm;1Fam;8;2112;2133;4;76;GasA;Ex;Y;76;0;76;2;1;3;4;Freistehend;2;NA;6;2138;138000
836;Reg;Nein;New Gotham;RL;Norm;1Fam;6;2101;2101;3;80;GasA;Ty;Y;80;0;80;3;1;3;5;Freistehend;2;NA;5;2137;120500
725;IR1;Nein;City Hall;RL;Str;1Fam;5;2081;2081;2;101;GasA;Ud;N;101;0;101;2;1;3;5;Anbau;1;NA;5;2138;104000
580;Reg;Nein;Dixon Side;RM;Norm;1Fam;8;2069;2082;4;62;GasA;Ex;Y;84;39;123;4;1;3;7;Freistehend;1;NA;7;2137;132000
411;Reg;Nein;ChinaTown;RM;Norm;REH;5;2134;2134;3;79;GasA;Ex;Y;79;0;79;1;1;4;3;Anbau;2;NA;2;2138;145000
534;Reg;Nein;Old Gotham;RM;Norm;1Fam;4;2050;2080;3;74;GasA;Gut;Y;78;0;78;2;1;2;5;Freistehend;1;NA;6;2136;64000
367;Reg;Ja;Old Gotham;RM;Str;1Fam;8;2056;2134;3;76;GasA;Ty;Y;76;38;114;3;1;3;5;Freistehend;1;NA;12;2139;115000
139;Reg;Nein;Paris Island;RM;Norm;REH;6;2102;2102;3;59;GasA;Ex;Y;59;0;59;1;1;3;3;NA;0;NA;5;2140;75500
1373;IR2;Nein;ChinaTown;RL;Norm;1Fam;5;2131;2132;3;163;GasA;Ex;Y;166;0;166;3;1;4;7;Anbau;3;NA;8;2136;275000
1147;Reg;Nein;North East;RL;Norm;1Fam;5;2138;2138;3;188;GasA;Ex;Y;188;0;188;3;1;5;7;Anbau;3;NA;5;2139;404000
673;Reg;Nein;Burnley;RL;Norm;1Fam;7;2100;2100;4;71;GasA;Ex;Y;71;0;71;2;1;3;5;Freistehend;2;NA;4;2137;129500
1090;IR1;Ja;Dixon Side;RL;Norm;1Fam;7;2054;2126;3;79;GasW;Ty;N;94;75;170;2;1;3;9;Freistehend;1;NA;5;2136;202500
176;Reg;Nein;Paris Island;RM;Norm;RMH;7;2102;2102;4;59;GasA;Gut;Y;59;0;59;1;1;3;3;NA;0;NA;6;2138;81000
880;Reg;Nein;ChinaTown;RL;Norm;1Fam;5;2132;2132;3;105;GasA;Ex;Y;105;84;189;3;1;4;7;Anbau;2;NA;3;2138;237000
557;Reg;Nein;Dixon Side;RM;Norm;1Fam;7;2051;2080;3;57;GasA;Gut;Y;57;0;57;2;1;3;4;Freistehend;1;NA;6;2136;89000
924;IR1;Nein;Somerset;RL;Norm;1Fam;5;2091;2091;3;92;GasA;Ty;Y;92;0;92;3;1;3;5;Freistehend;2;NA;10;2137;128500
379;Reg;Nein;Old Gotham;RM;Norm;1Fam;8;2065;2128;3;84;GasA;Gut;Y;80;48;128;3;1;4;6;Freistehend;1;NA;6;2139;128900
1105;IR1;Nein;Tricorner;RL;Norm;1Fam;5;2138;2138;3;124;GasA;Ex;Y;125;0;125;3;1;4;6;Anbau;3;NA;5;2140;220000
336;Reg;Nein;Upper West;RL;Norm;REH;5;2133;2133;3;131;GasA;Ex;Y;148;0;148;2;1;4;7;Anbau;3;NA;11;2137;226500
1015;IR1;Nein;New Gotham;RL;Norm;1Fam;5;2090;2090;3;116;GasA;Ty;Y;116;0;116;2;1;3;5;Anbau;1;NA;5;2138;157000
1066;Reg;Nein;North East;RL;Norm;1Fam;5;2137;2138;3;158;GasA;Ex;Y;158;0;158;3;1;4;7;Anbau;3;NA;5;2140;306000
959;Reg;Nein;Water District;RM;Norm;1Fam;6;2045;2108;2;82;GasA;Gut;Y;82;40;122;2;1;3;6;Freistehend;2;NA;4;2138;120000
918;Reg;Nein;Burnley;RL;Norm;1Fam;6;2107;2107;3;102;GasA;Ty;Y;104;0;104;3;1;3;6;Anbau;1;3;7;2138;171000
810;Reg;Nein;Somerset;RL;Norm;1Fam;5;2098;2098;3;83;GasA;Gut;Y;83;0;83;3;1;3;5;Anbau;2;NA;5;2137;129000
511;Reg;Nein;Old Gotham;RM;Norm;1Fam;7;2059;2131;3;86;GasA;Ty;Y;86;0;122;3;1;3;6;Freistehend;2;NA;4;2140;130000
1197;IR1;Nein;Somerset;RL;Norm;1Fam;6;2093;2129;3;48;GasA;Ex;Y;136;0;136;3;1;3;6;Anbau;2;NA;10;2139;175000
341;Reg;Nein;Grand Park;RM;Norm;REH;5;2135;2135;3;51;GasA;Ex;Y;100;0;100;2;1;3;5;TG;2;NA;6;2138;148000
858;IR1;Nein;Somerset;RL;Norm;1Fam;6;2092;2132;3;80;GasA;Gut;Y;113;0;113;2;1;3;6;Freistehend;2;NA;3;2136;144000
733;Reg;Nein;Somerset West;RL;Norm;REH;5;2123;2123;3;111;GasA;Ex;Y;111;0;111;2;1;4;5;Anbau;2;NA;3;2138;153900
1180;IR1;Nein;New Gotham;RL;Norm;1Fam;5;2094;2094;3;116;GasA;Ty;Y;116;0;116;3;1;3;6;Anbau;2;NA;11;2136;172000
673;Reg;Nein;ChinaTown;RL;Norm;1Fam;5;2135;2136;3;118;GasA;Ex;Y;118;0;118;2;1;4;6;Anbau;2;NA;7;2137;175900
741;IR1;Nein;Miller;RL;Norm;1Fam;7;2122;2137;4;109;GasA;Ex;Y;110;0;110;3;1;3;6;Anbau;2;NA;3;2140;185000
604;Reg;Nein;Grand Park;RL;Norm;1Fam;6;2106;2106;3;105;GasA;Ty;Y;105;0;105;3;1;3;6;Freistehend;2;NA;5;2138;135000
1177;IR1;Nein;Tricorner;RL;Norm;1Fam;5;2135;2136;3;102;GasA;Ex;Y;105;125;231;4;1;4;9;Eingebaut;3;NA;2;2137;281213
892;Reg;Nein;Somerset West;RL;Norm;1Fam;6;2137;2137;3;113;GasA;Ex;Y;113;0;113;3;1;4;6;Freistehend;2;NA;4;2139;159000
296;Reg;Nein;Upper West;RL;Norm;REH;5;2135;2136;3;113;GasA;Ex;Y;113;0;113;2;1;4;5;Anbau;2;NA;8;2139;180000
416;Reg;Nein;Old Gotham;RM;Str;1Fam;5;2052;2080;3;95;GasA;Ty;N;95;0;95;2;1;2;4;Freistehend;1;NA;2;2137;89500
678;IR1;Nein;The Bowery;RL;Norm;REH;5;2134;2135;3;205;GasA;Ex;Y;234;0;234;1;1;4;8;Anbau;2;NA;11;2139;375000
1325;IR1;Nein;New Gotham;RL;Norm;1Fam;6;2088;2088;3;123;GasA;Ty;Y;123;0;123;3;1;4;6;Anbau;1;NA;6;2140;172000
1455;IR1;Nein;City Hall;RL;Norm;1Fam;9;2069;2136;4;74;GasA;Ex;Y;106;76;182;3;1;4;8;Anbau;2;NA;5;2138;311500
595;Reg;Nein;Grand Park;RL;Norm;1Fam;7;2089;2130;3;89;GasA;Ex;Y;89;0;89;2;1;2;4;Freistehend;1;NA;12;2137;131750
1087;Reg;Nein;North West;RL;Norm;1Fam;6;2098;2098;3;65;GasA;Gut;Y;97;65;162;3;1;3;7;Anbau;2;NA;6;2137;175000
298;Reg;Nein;Upper West;RL;Norm;REH;5;2136;2136;3;106;GasA;Ex;Y;106;0;106;2;1;4;6;Anbau;2;NA;1;2140;160000
669;Reg;Nein;Old Gotham;RM;Norm;1Fam;8;2070;2080;3;75;GasA;Ex;Y;100;0;100;2;1;3;5;Freistehend;2;NA;5;2137;130000
974;Reg;Nein;North West;RL;Norm;1Fam;6;2106;2106;3;75;GasA;Ty;Y;102;80;182;4;1;3;8;Anbau;2;NA;9;2138;205000
1501;IR1;Ja;The Bowery;RL;Norm;1Fam;5;2135;2135;3;142;GasA;Ex;Y;142;0;142;3;1;4;7;Anbau;2;NA;6;2139;260000
1549;IR1;Nein;Tricorner;RL;Norm;1Fam;6;2111;2111;3;157;GasA;Ty;Y;159;0;159;2;1;3;6;Anbau;2;NA;1;2136;228000
737;Reg;Nein;New Gotham;RL;Norm;1Fam;8;2099;2135;3;95;GasA;Gut;Y;95;0;95;3;1;4;5;Freistehend;2;NA;7;2139;156000
705;Reg;Nein;New Gotham;RL;Str;1Fam;5;2083;2083;3;96;GasA;Ex;Y;96;0;96;3;1;3;5;Anbau;1;NA;6;2138;112900
869;Reg;Ja;Grand Park;RL;Norm;1Fam;6;2077;2109;3;70;GasA;Ex;Y;109;0;142;3;1;3;8;Freistehend;1;NA;6;2140;127000
825;Reg;Nein;Grand Park;RL;Norm;1Fam;6;2068;2088;3;76;GasA;Ex;Y;76;0;76;2;1;3;3;Freistehend;1;NA;5;2139;100000
594;Reg;Nein;New Gotham;RL;Str;1Fam;7;2084;2084;3;87;GasA;Ty;Y;91;0;91;2;1;3;4;Freistehend;1;NA;6;2138;112500
485;IR1;Nein;University;RL;Norm;1Fam;3;2066;2080;3;77;GasA;Gut;Y;82;0;82;2;1;3;4;Freistehend;1;NA;1;2136;80000
580;Reg;Nein;North East;RL;Norm;REH;5;2136;2137;3;125;GasA;Ex;Y;125;0;125;2;1;4;6;Anbau;2;NA;6;2138;234250
743;Reg;Nein;North West;RL;Pos;1Fam;6;2100;2100;3;94;GasA;Ty;Y;130;94;224;4;1;3;8;Anbau;2;NA;6;2137;240050
1078;Reg;Nein;City Hall;RL;Norm;1Fam;5;2052;2080;3;65;GasA;Ex;Y;110;0;110;2;1;2;5;Freistehend;1;NA;7;2136;137500
913;IR1;Nein;New Gotham;RL;Norm;1Fam;7;2089;2136;4;99;GasA;Ex;Y;120;0;120;3;1;4;7;Freistehend;2;NA;3;2140;162000
1373;IR1;Nein;East End;RL;Norm;1Fam;5;2129;2129;3;129;GasA;Ex;Y;132;109;241;4;1;4;10;Eingebaut;3;NA;5;2140;333168
948;IR1;Nein;New Gotham;RL;Norm;1Fam;5;2092;2092;3;86;GasA;Ty;Y;93;0;93;3;1;3;6;Anbau;1;NA;5;2136;134500
892;Reg;Nein;New Gotham;RL;Norm;1Fam;6;2080;2080;3;111;GasA;Ty;Y;111;0;111;3;1;3;6;Anbau;1;NA;8;2139;129900
1214;IR1;Nein;North East;RL;Norm;1Fam;5;2134;2134;3;158;GasA;Ex;Y;160;115;275;5;1;5;11;Eingebaut;3;NA;8;2137;342000
557;Reg;Nein;Old Gotham;RM;Norm;1Fam;7;2045;2135;3;68;GasA;Gut;Y;68;68;135;4;1;4;7;Freistehend;1;NA;6;2138;139500
1068;IR1;Nein;Somerset West;RL;Norm;1Fam;5;2126;2127;3;85;GasA;Ex;Y;85;112;197;4;1;4;8;Anbau;2;NA;4;2139;220000
966;Reg;Nein;North West;RL;Norm;1Fam;5;2118;2118;3;171;GasA;Gut;Y;174;0;174;3;1;3;6;Anbau;2;NA;6;2136;241500
836;Reg;Nein;Somerset West;RH;Norm;1Fam;3;2058;2080;3;73;GasA;Ty;N;73;0;73;2;1;3;5;Freistehend;2;NA;10;2139;76000
758;Reg;Nein;ChinaTown;RL;Norm;1Fam;5;2133;2133;3;82;GasA;Ex;Y;82;82;164;3;1;4;8;Anbau;2;NA;7;2138;224900
1390;IR2;Nein;DiamondDistrict;RL;Norm;REH;5;2126;2126;3;117;GasA;Ex;Y;120;0;120;1;1;5;4;Anbau;2;NA;12;2138;245500
739;IR1;Ja;Grand Park;RL;Norm;1Fam;6;2107;2107;3;64;GasA;Ty;Y;65;68;132;3;1;3;6;Anbau;2;NA;7;2139;159500
368;Reg;Nein;Paris Island;RM;Norm;REH;4;2103;2103;3;88;GasA;Gut;Y;120;114;234;5;1;3;10;Anbau;2;NA;6;2136;151400
580;Reg;Nein;Dixon Side;RM;Norm;1Fam;6;2061;2080;3;82;GasA;Ty;Y;89;38;127;3;1;3;6;Freistehend;1;NA;11;2137;127500
869;Reg;Nein;New Gotham;RL;Norm;1Fam;8;2095;2129;4;113;GasA;Gut;Y;118;0;118;3;1;4;6;Anbau;2;NA;10;2138;179900
1068;IR1;Nein;New Gotham;RL;Norm;1Fam;4;2097;2097;3;97;GasA;Gut;Y;97;0;97;3;1;3;6;Anbau;2;NA;5;2139;163000
1145;IR1;Ja;City Hall;RL;Norm;1Fam;7;2062;2120;3;59;GasA;Ex;Y;89;60;149;3;1;4;8;2Typen;3;NA;5;2136;199500
706;Reg;Nein;Burnley;RL;Norm;1Fam;6;2112;2136;3;79;GasA;Ty;Y;79;0;79;2;1;3;4;Freistehend;2;NA;6;2137;129500
689;IR1;Nein;Miller;RL;Norm;1Fam;5;2134;2134;3;78;GasA;Ex;Y;80;68;148;3;1;3;8;Anbau;2;NA;4;2138;193000
1864;IR1;Ja;Clear Creek;RL;Norm;1Fam;7;2107;2131;4;132;GasA;Gut;Y;138;0;138;1;1;3;4;Anbau;2;NA;4;2140;270000
907;IR2;Nein;Miller;RL;Norm;1Fam;8;2123;2123;4;63;GasA;Gut;Y;63;73;137;3;1;3;6;Eingebaut;2;NA;4;2139;185000
4934;IR2;Ja;Clear Creek;RL;Str;1Fam;5;2122;2122;3;147;GasA;Ex;Y;100;81;181;3;1;4;9;Anbau;2;NA;6;2137;240000
3077;IR3;Nein;Old Gotham;RM;Bahn;1Fam;5;2092;2092;3;148;GasA;Ty;Y;150;81;231;5;1;3;8;Freistehend;2;NA;10;2136;220000
1053;IR1;Nein;Burnley;RL;Norm;1Fam;5;2106;2106;3;96;GasA;Ty;Y;99;0;99;3;1;3;5;Anbau;2;NA;5;2137;146800
569;Reg;Nein;Dixon Side;RM;Norm;1Fam;6;2068;2080;3;88;GasA;Ty;Y;92;55;147;3;1;3;6;Freistehend;1;NA;2;2139;150000
1119;Reg;Nein;Grand Park;RL;Norm;1Fam;6;2082;2132;3;0;GasA;Gut;Y;138;0;138;3;1;3;7;Anbau;2;NA;4;2136;135000
580;Reg;Nein;Dixon Side;RM;Norm;1Fam;5;2060;2080;3;86;GasA;Ty;Y;86;56;143;4;1;3;7;Freistehend;2;NA;3;2140;138400
697;Reg;Nein;Somerset West;RL;Norm;1Fam;5;2136;2136;3;106;GasA;Ex;Y;106;0;106;3;1;4;6;Freistehend;2;NA;6;2139;152000
1056;IR1;Nein;North East;RL;Norm;1Fam;5;2134;2135;3;171;GasA;Ex;Y;171;0;171;3;1;4;7;Anbau;3;NA;3;2139;280000
1755;IR1;Nein;Somerset;RL;Str;2Fam;5;2107;2107;3;126;GasA;Ex;Y;126;117;243;4;2;3;12;Eingebaut;2;NA;8;2137;190000
575;Reg;Nein;University;RL;Norm;1Fam;4;2071;2080;3;77;GasA;Ty;N;77;43;120;4;1;3;6;Freistehend;1;NA;11;2136;112000
293;Reg;Nein;Old Gotham;RM;Norm;1Fam;6;2050;2120;3;90;GasA;Gut;Y;90;0;90;2;1;3;5;Freistehend;1;NA;7;2137;99900
892;Reg;Nein;New Gotham;RL;Norm;1Fam;6;2085;2102;3;107;GasA;Ex;Y;141;0;141;3;1;3;7;TG;1;NA;3;2140;153000
737;IR1;Nein;Burnley;RL;Norm;1Fam;6;2114;2114;3;93;GasA;Ty;Y;93;0;93;3;1;3;6;Freistehend;2;NA;3;2136;142500
1003;Reg;Nein;Old Gotham;RL;Norm;1Fam;5;2020;2128;3;59;GasA;Ty;Y;67;0;67;1;1;3;4;Freistehend;1;NA;11;2139;78500
180;Reg;Nein;Paris Island;RM;Norm;RMH;6;2100;2100;3;59;GasA;Gut;Y;59;0;59;1;1;3;3;NA;0;NA;12;2137;84500
797;Reg;Nein;City Hall;RL;Norm;1Fam;8;2046;2130;3;76;GasA;Ex;Y;114;0;114;3;1;4;6;Freistehend;2;NA;10;2139;147500
719;Reg;Nein;Somerset;RL;Norm;1Fam;7;2096;2096;3;89;GasA;Ex;Y;89;0;89;3;1;3;6;Anbau;1;NA;1;2137;127000
465;Reg;Ja;Dixon Side;RL;Norm;1Fam;3;2076;2080;2;0;GasA;Ud;N;31;0;31;1;1;2;2;NA;0;NA;1;2137;39300
815;Reg;Nein;Grand Park;RL;Str;2Fam;7;2030;2133;3;118;GasA;Gut;Y;118;86;204;4;2;3;9;NA;0;NA;9;2138;145900
1909;IR1;Nein;North West;RL;Norm;1Fam;6;2116;2121;4;73;GasA;Gut;Y;115;80;194;3;1;3;7;Anbau;2;NA;11;2138;215000
1101;IR1;Ja;North East;RL;Norm;1Fam;5;2133;2134;3;166;GasA;Ex;Y;166;0;166;2;1;5;6;Anbau;3;NA;8;2136;374000
759;IR1;Nein;Miller;RL;Norm;1Fam;5;2133;2133;3;65;GasA;Ex;Y;65;60;125;3;1;4;7;Anbau;2;NA;5;2139;178000
1284;Reg;Nein;Somerset;RL;Norm;1Fam;6;2088;2117;4;50;GasA;Ty;Y;95;54;149;3;1;3;6;Eingebaut;1;NA;12;2138;140000
888;IR1;Nein;Miller;RL;Norm;1Fam;5;2122;2123;3;109;GasA;Gut;Y;110;0;110;3;1;4;6;Anbau;2;NA;8;2137;160000
754;Reg;Nein;New Gotham;RL;Norm;1Fam;7;2100;2100;4;80;GasA;Ex;Y;80;0;80;3;1;3;5;Freistehend;2;NA;7;2139;124500
1078;Reg;Nein;New Gotham;RL;Norm;1Fam;5;2090;2090;3;128;GasA;Ty;Y;128;0;128;3;1;3;7;Anbau;1;NA;4;2136;145250
2023;Reg;Nein;City Hall;RL;Norm;1Fam;5;2050;2080;3;76;GasA;Gut;Y;87;57;144;3;1;3;7;Freistehend;1;NA;9;2136;195000
1150;Reg;Nein;Somerset;RL;Str;1Fam;5;2081;2081;2;75;GasA;Ty;Y;100;32;132;3;1;3;7;Freistehend;1;NA;6;2136;137500
1853;Reg;Nein;Grand Park;RL;Norm;1Fam;7;2058;2080;3;62;GasA;Ex;Y;124;62;187;4;1;3;8;2Typen;3;NA;12;2136;235000
829;IR1;Nein;Miller;RL;Norm;1Fam;5;2128;2128;3;36;GasA;Gut;Y;70;59;128;3;1;3;7;Eingebaut;2;NA;2;2139;177500
214;Reg;Nein;Robinson Park;RL;Norm;REH;5;2104;2104;3;79;GasA;Ty;Y;79;43;123;3;1;3;6;Anbau;2;NA;6;2139;147000
969;Reg;Nein;New Gotham;RL;Norm;1Fam;5;2085;2085;3;93;GasA;Ty;Y;93;0;93;2;1;2;5;Freistehend;2;NA;11;2139;115000
780;Reg;Ja;University;RL;Norm;1Fam;5;2050;2080;3;27;GasA;Ty;N;41;0;41;1;1;2;3;Freistehend;1;NA;1;2139;60000
585;Reg;Nein;Old Gotham;RM;Norm;1Fam;6;2040;2135;3;114;GasA;Ex;Y;114;82;195;5;1;3;9;Freistehend;2;NA;7;2136;155000
669;Reg;Nein;New Gotham;RL;Norm;1Fam;7;2084;2084;3;77;GasA;Ty;Y;77;0;77;2;1;3;4;Anbau;1;NA;7;2138;109500
1617;Reg;Ja;Burnley;RL;Norm;1Fam;5;2107;2107;3;105;GasA;Ud;Y;105;0;105;3;1;3;5;Anbau;2;NA;5;2136;160000
557;Reg;Nein;Old Gotham;RM;Norm;1Fam;7;2084;2130;3;84;GasA;Ex;Y;84;0;84;2;1;3;4;Freistehend;1;NA;8;2138;107900
1029;Reg;Nein;New Gotham;RL;Norm;1Fam;5;2099;2099;3;88;GasA;Ty;Y;101;95;196;4;1;3;9;Anbau;2;NA;6;2138;206900
1218;IR1;Nein;The Bowery;RL;Norm;1Fam;5;2124;2124;3;192;GasA;Ex;Y;193;56;250;4;1;4;9;Anbau;2;NA;12;2136;270000
521;Reg;Nein;Grand Park;RL;Norm;1Fam;6;2055;2080;3;80;GasA;Ty;N;80;0;80;2;1;3;5;NA;0;NA;4;2138;98000
639;Reg;Nein;Water District;RM;Norm;1Fam;5;2057;2080;3;67;GasA;Ud;Y;106;73;179;4;1;3;8;Anbau;1;NA;8;2139;149000
1241;IR1;Nein;North West;RL;Norm;1Fam;6;2101;2101;3;77;GasA;Ty;Y;79;77;155;4;1;3;7;Anbau;2;NA;5;2138;170000
273;Reg;Nein;Upper West;RL;Norm;REH;5;2132;2132;3;127;GasA;Ex;Y;140;0;140;2;1;4;5;Anbau;2;NA;5;2136;246990
557;Reg;Nein;Dixon Side;RM;Norm;1Fam;8;2055;2127;3;82;GasA;Ex;Y;82;43;125;3;1;3;5;Freistehend;1;NA;5;2139;117000
1442;IR1;Nein;ChinaTown;RL;Norm;1Fam;6;2102;2102;3;80;GasA;Ex;Y;80;0;80;3;1;3;5;Anbau;1;NA;8;2139;133500
907;IR1;Nein;New Gotham;RL;Norm;1Fam;5;2101;2101;3;88;GasA;Ty;Y;88;0;88;3;1;3;5;Freistehend;1;NA;7;2137;119500
677;Reg;Nein;University;RL;Norm;1Fam;8;2051;2080;3;114;GasA;Ex;Y;132;0;132;2;1;3;7;Anbau;1;NA;4;2138;168000
744;Reg;Nein;Somerset West;RL;Norm;REH;5;2122;2122;3;146;GasA;Gut;Y;146;0;146;2;1;4;5;Anbau;2;NA;7;2137;179200
669;Reg;Nein;New Gotham;RL;Norm;1Fam;7;2082;2082;4;68;GasA;Ty;Y;68;0;68;2;1;3;4;Freistehend;1;NA;9;2139;118900
557;Reg;Nein;Water District;RM;Norm;1Fam;8;2070;2136;3;67;GasA;Gut;Y;71;31;101;3;1;3;5;Freistehend;1;NA;7;2138;120000
1324;Reg;Nein;New Gotham;RL;Norm;1Fam;5;2087;2087;3;93;GasA;Ty;Y;166;0;166;3;1;3;6;Anbau;2;NA;9;2138;180000
